Date,Open,High,Low,Close,Volume,Ticker,Fund_Name,Category,Style,SMA_20,SMA_50,SMA_200,Daily_Return,Volatility_20,Cumulative_Return
2023-04-11 00:00:00-04:00,109.76661682128906,109.76661682128906,109.76661682128906,109.76661682128906,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,107.91523323059081,106.69756408691406,,-0.39828694798191844,1.2357429769038044,19.030089590280962
2023-04-12 00:00:00-04:00,108.70655822753906,108.70655822753906,108.70655822753906,108.70655822753906,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,108.17114028930663,106.81019622802734,,-0.9657386047306926,1.1873360200511456,17.880570063862102
2023-04-13 00:00:00-04:00,110.81840515136719,110.81840515136719,110.81840515136719,110.81840515136719,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,108.54671859741211,106.92580978393555,,1.942704247344218,1.238459148467337,20.17064090528633
2023-04-14 00:00:00-04:00,110.69418334960938,110.69418334960938,110.69418334960938,110.69418334960938,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,108.76908416748047,106.99454849243165,,-0.11209491924030202,1.0940102898593715,20.035935722413
2023-04-17 00:00:00-04:00,110.9012222290039,110.9012222290039,110.9012222290039,110.9012222290039,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,109.04321060180663,106.99752975463868,,0.18703681903557978,1.0690209803899293,20.260447118287807
2023-04-18 00:00:00-04:00,111.31532287597656,111.31532287597656,111.31532287597656,111.31532287597656,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,109.318994140625,107.04705520629882,,0.3733959271589926,1.0690848046492896,20.709494729810718
2023-04-19 00:00:00-04:00,111.19937896728516,111.19937896728516,111.19937896728516,111.19937896728516,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,109.48048934936523,107.11165328979492,,-0.104158085064876,0.9843061137589474,20.583766031608654
2023-04-20 00:00:00-04:00,109.99852752685547,109.99852752685547,109.99852752685547,109.99852752685547,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,109.66227531433105,107.10800979614258,,-1.0799084055882924,0.9522182909545036,19.281571806458373
2023-04-21 00:00:00-04:00,110.20555114746094,110.20555114746094,110.20555114746094,110.20555114746094,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,109.78898620605469,107.1414680480957,,0.18820581080498666,0.9192320755268762,19.506066655817666
2023-04-24 00:00:00-04:00,110.06475830078125,110.06475830078125,110.06475830078125,110.06475830078125,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,109.91693916320801,107.18999923706055,,-0.12775476844292255,0.918841047430892,19.353391957086274
2023-04-25 00:00:00-04:00,107.54710388183594,107.54710388183594,107.54710388183594,107.54710388183594,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,109.93681488037109,107.2166665649414,,-2.2874301073420367,1.0624813101598172,16.623266535325932
